,time,lon,lat,no2,o3,so2,pm2.5,pm10,co,tmax,tmin,hum,opady,tysk,wind
2576,1,23.75,51.75,4.711907704671224,51.55341084798177,2.4012341499328613,9.248416900634766,12.351810455322266,185.9384765625,5.65,0.05,92.97,0.25,101.22,2.97
2577,2,23.75,51.75,6.672050476074219,46.99674987792969,3.451918601989746,17.601890563964844,23.52039845784505,225.71431477864584,7.78,-0.69,91.62,0.19,101.08,4.43
2578,3,23.75,51.75,8.941136678059896,41.62401835123698,3.784782727559408,16.831770579020183,21.09075673421224,240.6431681315104,6.35,-2.21,92.66,0.16,100.83,1.99
2579,4,23.75,51.75,10.849892934163412,40.62728373209635,6.81170654296875,30.6032206217448,39.30494435628256,322.9646402994792,4.91,-0.49,94.47,0.42,99.36,4.11
2580,5,23.75,51.75,4.367971420288086,59.1910400390625,1.9676942825317385,6.767345428466797,9.92236582438151,192.32745361328125,2.52,-3.39,81.22,0.41,99.75,2.61
2581,6,23.75,51.75,5.470470428466797,64.75009155273438,2.83476988474528,8.737037658691406,12.398424784342447,215.1993204752604,0.76,-3.85,82.84,0.12,100.6,3.66
2582,7,23.75,51.75,3.988536516825358,66.58964029947917,2.259626706441244,10.033594131469728,14.343953450520834,205.709228515625,2.89,-2.7,84.19,0.8,99.6,6.78
2583,8,23.75,51.75,3.444417317708333,72.50241088867188,1.5487972895304365,5.076905250549316,7.852352142333984,180.2298583984375,1.61,-3.13,82.44,0.54,99.58,3.92
2584,9,23.75,51.75,3.3709338506062827,65.07331848144531,1.7571592330932615,7.309092839558919,10.930250803629557,196.2559814453125,-0.83,-5.95,78.0,0.16,100.22,1.82
2585,10,23.75,51.75,2.125463962554932,66.27245076497395,1.7208657264709473,9.01907221476237,16.535160064697266,194.0336710611979,1.23,-7.24,77.53,0.02,100.27,1.43
2586,11,23.75,51.75,2.7507546742757163,67.95440165201823,2.353064219156901,12.76587422688802,19.986438751220703,206.7664591471354,2.28,-5.74,84.91,2.32,99.69,4.03
2587,12,23.75,51.75,6.665029525756836,57.19679260253906,3.172095616658529,13.475392659505207,18.854254404703777,238.40824381510416,4.47,-0.4,95.75,3.98,98.46,4.27
2588,13,23.75,51.75,6.449230194091797,57.02246602376302,3.605415344238281,11.691022237141928,15.29217783610026,233.08154296875,6.52,-1.17,92.47,1.09,98.72,4.28
2589,14,23.75,51.75,3.4263458251953125,70.3241475423177,3.306269327799479,7.374523162841797,8.968271891276041,203.55668131510416,8.02,0.42,89.84,0.87,98.32,4.18
2590,15,23.75,51.75,4.333731969197591,53.78600056966146,1.712270736694336,9.687926610310871,12.89504369099935,226.9928995768229,8.09,-0.75,81.22,0.1,98.86,1.66
2591,16,23.75,51.75,2.189802010854085,60.36713663736979,1.1465875307718914,6.890282948811849,9.467935562133787,193.5027262369792,5.5,-0.8,86.0,0.32,98.98,3.02
2592,17,23.75,51.75,3.136035919189453,57.32505289713541,1.5740784009297688,8.570607503255209,10.754508972167969,196.30096435546875,5.37,-1.42,84.75,0.12,99.29,4.19
2593,18,23.75,51.75,3.218987464904785,62.31562805175781,2.148265520731608,8.419001261393229,10.59384028116862,220.8553059895833,3.16,-3.61,82.5,0.03,99.63,3.0
2594,19,23.75,51.75,6.320889155069987,50.060282389322914,3.1540470123291016,11.731424967447916,14.80643081665039,244.780517578125,2.67,-3.37,81.31,0.81,99.6,1.9
2595,20,23.75,51.75,3.76322873433431,55.29505920410156,1.3282179832458496,9.444186528523764,11.82434336344401,232.80094401041663,1.08,-3.88,82.09,0.16,100.11,2.32
2596,21,23.75,51.75,6.290002187093099,57.3967539469401,3.705501556396485,13.575438181559244,17.092742919921875,248.1573486328125,0.52,-4.47,79.41,3.04,99.19,4.71
2597,22,23.75,51.75,3.0117975870768228,72.09989420572917,1.723237673441569,5.916116078694661,7.444523493448893,181.6304524739584,2.83,-3.6,82.12,0.83,99.17,3.51
2598,23,23.75,51.75,2.9431400299072266,69.61583964029948,1.588067372639974,6.902227401733398,9.002310434977213,187.82613118489584,3.86,-2.86,83.03,0.84,99.67,2.95
2599,24,23.75,51.75,3.2533696492513022,71.92441813151042,1.3713722229003906,7.019636789957683,9.890617370605469,172.4231974283854,5.61,-3.27,64.69,0.0,100.24,1.3
2600,25,23.75,51.75,7.305877685546875,43.70575968424479,3.165989875793457,24.517486572265625,31.58562723795573,234.41495768229169,6.93,-1.67,83.84,0.13,100.16,1.46
2601,26,23.75,51.75,5.564960479736328,57.225911458333336,4.242970148722331,26.91377258300781,33.58101145426432,226.86397298177084,10.91,-0.56,78.25,0.0,100.36,0.9
2602,27,23.75,51.75,3.029545148213705,72.33919270833333,4.629683176676433,35.60102335611979,43.137044270833336,274.54526774088544,13.75,-1.32,83.72,1.12,100.19,2.87
2603,28,23.75,51.75,5.751485824584961,60.07496134440104,2.847503662109375,11.434673309326172,13.744247436523438,216.64302571614584,7.65,0.77,87.06,1.95,100.68,3.09
2604,29,23.75,51.75,5.245738347371419,62.60958862304688,2.7240079243977866,16.80096944173177,22.973101298014324,245.2927449544271,10.46,0.39,81.97,0.9,101.02,1.95
2605,30,23.75,51.75,9.73015594482422,35.46642557779948,2.831586201985677,22.549057006835938,30.10802459716797,282.1339111328125,12.34,5.4,94.75,1.21,100.88,2.07
2606,31,23.75,51.75,6.804795583089192,53.15184020996094,3.848567326863607,17.73084259033203,22.710474650065105,217.03190104166663,17.51,7.6,87.34,0.2,100.44,2.59
2607,32,23.75,51.75,6.012970606486003,67.12367757161458,4.8171946207682295,25.36054229736328,32.11887868245443,260.8836669921875,20.05,6.06,83.09,1.22,99.39,2.67
2608,33,23.75,51.75,2.8259572982788086,65.22861226399739,1.3818353017171223,4.990087191263835,7.666150410970052,172.67671712239584,9.87,0.83,71.69,0.52,99.37,3.58
2609,34,23.75,51.75,3.139698028564453,59.61149088541666,2.091157595316569,8.080190022786459,11.056226094563804,194.2342732747396,5.57,-0.15,82.34,1.61,99.34,2.09
2610,35,23.75,51.75,2.2752580642700195,59.54942830403646,1.6655335426330566,6.048876444498698,7.4426422119140625,182.30078125,6.36,-1.1,81.31,0.25,99.77,2.55
2611,36,23.75,51.75,3.622793515523275,72.74798583984375,4.788710912068685,9.3250363667806,12.63393783569336,226.91815185546875,11.98,-2.36,74.56,1.81,98.36,5.01
2612,37,23.75,51.75,4.0810286204020185,59.78065999348959,2.3279035886128745,5.849630355834961,8.078089396158854,198.1207275390625,3.65,-1.16,81.97,0.83,98.32,3.13
2613,38,23.75,51.75,5.35194460550944,57.68070475260416,2.7050018310546875,11.22738774617513,15.821080525716146,219.09395345052084,4.55,-2.52,78.5,0.32,98.63,3.15
2614,39,23.75,51.75,6.857714335123698,56.05656433105469,2.9973932902018228,10.317747751871744,13.51916249593099,224.5804443359375,5.62,-2.24,81.97,0.94,99.45,4.27
2615,40,23.75,51.75,4.369286219278972,65.39408365885417,3.0332422256469727,11.010140736897789,13.698956807454428,220.5664265950521,10.06,-0.66,74.38,0.02,100.25,4.03
2616,41,23.75,51.75,2.4601070086161294,81.29972839355469,3.2057272593180337,12.10299301147461,15.03156280517578,212.3779500325521,16.31,2.55,68.97,0.0,99.87,3.96
2617,42,23.75,51.75,1.839592138926188,87.26425170898438,3.13449509938558,12.085770924886068,14.604246775309244,186.53971354166663,18.15,4.18,71.78,0.0,100.12,4.14
2618,43,23.75,51.75,2.195437749226888,72.1873067220052,3.5648794174194336,14.758570353190104,19.23573557535808,191.56416829427084,18.14,5.4,74.59,0.21,99.94,2.82
2619,44,23.75,51.75,4.2891693115234375,55.79313659667969,2.232515811920166,12.561395009358725,14.86733881632487,221.8271687825521,11.15,3.26,89.94,2.48,99.91,3.82
2620,45,23.75,51.75,3.030129114786784,57.99389139811198,1.327951987584432,3.919882456461589,4.668343226114909,184.33760579427084,3.71,1.56,93.88,9.22,99.67,4.41
2621,46,23.75,51.75,3.3364346822102866,48.02790832519531,0.8997077147165934,8.388381958007812,10.180372873942057,210.45902506510416,9.66,1.46,90.25,6.34,99.53,2.06
2622,47,23.75,51.75,4.043451309204102,41.791552225748696,1.5005048116048176,7.340035756429036,8.809007008870443,215.8948974609375,8.69,4.79,94.62,14.07,99.28,2.63
2623,48,23.75,51.75,4.967271486918132,37.35227711995443,0.8955338795979818,11.326045989990234,12.609886169433594,256.4894612630208,11.74,4.71,88.31,2.6,99.79,0.93
2624,49,23.75,51.75,3.870769500732422,52.283294677734375,1.5335219701131184,12.181954701741535,14.57852554321289,233.7247517903646,14.19,4.27,84.09,2.37,99.94,1.2
2625,50,23.75,51.75,1.262975851694743,67.78715006510417,1.206008752187093,9.014626185099283,11.965988159179688,190.3412068684896,14.6,5.08,80.53,0.45,99.82,3.14
2626,51,23.75,51.75,2.492014249165853,63.735941569010414,1.850301742553711,11.078678131103516,13.501363118489584,188.7600504557292,11.42,3.76,89.0,3.65,99.45,1.64
2627,52,23.75,51.75,4.134237607320149,72.90764872233073,3.751152674357096,15.593196868896484,19.34910710652669,243.9745483398437,13.51,5.05,85.0,1.89,99.16,2.6
2628,53,23.75,51.75,4.09934139251709,69.86512756347656,3.862037022908529,14.093270619710289,18.512969970703125,220.00785319010416,11.01,2.07,79.5,1.03,99.39,3.41
2629,54,23.75,51.75,3.0549774169921875,69.64996337890625,2.41262149810791,6.745317459106445,9.444249471028646,175.84794108072916,7.5,0.04,78.75,0.43,99.91,4.07
