-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2021 through 05/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS2M
44.25,22.75,2021,60,9.86,-0.56,80.7,0.03,100.23,2.21
44.25,23.25,2021,60,9.73,0.02,82.1,0.11,101.26,2.54
44.25,23.75,2021,60,8.18,-0.34,84.62,0.29,101.05,2.25
44.25,24.25,2021,60,7.47,-0.46,85.92,0.5,101.16,1.89
44.25,24.75,2021,60,6.82,-0.19,86.19,0.73,101.24,1.56
44.25,25.25,2021,60,6.46,0.1,85.61,1.14,101.42,1.29
44.25,25.75,2021,60,6.45,0.2,84.62,1.63,101.68,1.23
44.25,26.25,2021,60,6.7,0.1,84.0,1.9,101.9,1.62
44.25,26.75,2021,60,6.61,-0.5,83.75,1.84,101.93,2.16
44.25,27.25,2021,60,6.36,-0.12,83.54,1.77,101.87,2.41
44.25,27.75,2021,60,6.13,0.43,84.05,1.83,101.83,2.53
44.25,28.25,2021,60,5.98,1.19,84.61,2.04,101.92,2.76
44.25,28.75,2021,60,5.81,3.11,83.19,2.33,102.27,3.5
44.25,29.25,2021,60,6.15,4.21,80.96,2.54,102.65,4.58
44.25,29.75,2021,60,6.44,4.81,80.69,2.83,102.72,5.3
44.25,30.25,2021,60,6.66,5.23,80.76,3.25,102.69,5.69
44.75,22.75,2021,60,8.96,-1.45,81.11,0.09,97.87,1.45
44.75,23.25,2021,60,9.06,-1.03,80.86,0.19,98.55,1.7
44.75,23.75,2021,60,8.35,-0.92,80.69,0.26,98.81,1.55
44.75,24.25,2021,60,8.1,-0.55,80.79,0.43,99.1,1.3
44.75,24.75,2021,60,7.54,-0.51,82.86,0.61,99.05,1.05
44.75,25.25,2021,60,7.11,-0.46,84.12,0.89,99.24,0.91
44.75,25.75,2021,60,7.09,-0.32,83.56,1.2,99.91,0.99
44.75,26.25,2021,60,7.55,-0.25,81.94,1.29,100.9,1.45
