-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2021 through 05/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS2M
43.75,30.75,2021,60,7.3,5.81,79.03,3.98,102.66,5.37
43.75,31.25,2021,60,7.26,5.82,79.03,4.07,102.63,5.3
43.75,31.75,2021,60,7.36,5.79,78.43,3.54,102.61,4.94
43.75,32.25,2021,60,7.35,5.94,77.4,2.48,102.59,4.52
43.75,32.75,2021,60,7.23,6.08,76.32,1.7,102.57,4.11
43.75,33.25,2021,60,6.99,6.08,75.79,1.42,102.56,3.76
43.75,33.75,2021,60,6.61,5.9,76.59,1.34,102.55,3.47
43.75,34.25,2021,60,6.44,5.72,77.94,1.57,102.54,3.2
43.75,34.75,2021,60,6.43,5.53,78.15,1.67,102.54,2.88
43.75,35.25,2021,60,6.4,5.38,78.42,1.77,102.53,2.62
43.75,35.75,2021,60,6.36,5.36,78.71,1.93,102.52,2.46
43.75,36.25,2021,60,6.48,5.65,77.66,2.1,102.52,2.31
43.75,36.75,2021,60,6.48,5.85,77.41,2.28,102.52,2.28
43.75,37.25,2021,60,6.48,5.95,77.27,2.34,102.51,2.3
43.75,37.75,2021,60,6.56,6.01,76.98,2.34,102.5,2.35
43.75,38.25,2021,60,6.68,5.95,76.53,2.33,102.43,2.38
43.75,38.75,2021,60,6.68,5.56,76.16,2.39,102.25,2.28
43.75,39.25,2021,60,5.41,3.15,78.91,2.16,99.93,1.72
43.75,39.75,2021,60,2.68,-1.71,84.19,1.76,95.18,1.23
44.25,30.75,2021,60,6.83,5.58,80.39,3.67,102.66,5.78
44.25,31.25,2021,60,6.96,5.77,79.56,3.82,102.63,5.64
44.25,31.75,2021,60,7.06,5.77,78.44,3.32,102.6,5.16
44.25,32.25,2021,60,7.1,5.78,77.01,2.38,102.58,4.66
44.25,32.75,2021,60,6.94,5.74,75.69,1.65,102.51,4.16
44.25,33.25,2021,60,6.41,5.33,75.59,1.3,102.17,3.6
44.25,33.75,2021,60,5.31,3.94,78.56,1.03,101.11,2.88
44.25,34.25,2021,60,5.66,4.41,77.26,1.03,101.48,2.65
44.25,34.75,2021,60,6.19,5.04,75.55,1.07,102.13,2.63
44.25,35.25,2021,60,6.49,5.31,75.2,1.24,102.51,2.66
44.25,35.75,2021,60,6.49,5.25,76.11,1.56,102.52,2.65
44.25,36.25,2021,60,6.5,5.48,76.28,2.06,102.52,2.54
44.25,36.75,2021,60,6.5,5.61,76.56,2.21,102.51,2.36
44.25,37.25,2021,60,6.29,5.57,76.91,2.36,102.34,2.11
44.25,37.75,2021,60,6.22,5.12,77.02,2.55,102.05,1.86
44.25,38.25,2021,60,6.32,4.05,77.56,2.75,101.63,1.59
44.25,38.75,2021,60,6.38,2.2,80.16,2.91,101.01,1.19
44.25,39.25,2021,60,5.28,-0.56,83.88,2.64,98.67,0.91
44.25,39.75,2021,60,3.31,-4.05,88.0,2.36,95.33,0.85
44.75,30.75,2021,60,6.22,4.73,82.14,2.9,102.66,5.66
44.75,31.25,2021,60,6.63,5.22,79.97,2.92,102.63,5.52
44.75,31.75,2021,60,6.78,5.29,77.89,2.53,102.61,5.0
44.75,32.25,2021,60,6.67,5.12,76.32,1.88,102.58,4.5
44.75,32.75,2021,60,6.32,4.79,75.42,1.36,102.49,3.9
44.75,33.25,2021,60,5.73,3.85,76.16,1.03,102.01,3.11
44.75,33.75,2021,60,4.87,1.31,80.28,0.61,100.6,2.01
44.75,34.25,2021,60,5.4,0.46,80.76,0.48,99.8,1.83
44.75,34.75,2021,60,5.9,1.45,79.28,0.47,100.7,2.15
44.75,35.25,2021,60,5.93,2.74,78.49,0.7,101.79,2.55
44.75,35.75,2021,60,5.63,3.53,78.99,1.16,102.34,2.79
44.75,36.25,2021,60,5.7,3.79,79.34,1.74,102.41,2.79
44.75,36.75,2021,60,5.7,3.73,79.64,1.72,102.4,2.5
44.75,37.25,2021,60,5.72,3.2,80.22,1.79,102.07,2.01
