,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS2M
242,5.65,0.05,92.97,0.25,101.22,2.97
530,7.78,-0.69,91.62,0.19,101.08,4.43
818,6.35,-2.21,92.66,0.16,100.83,1.99
1106,4.91,-0.49,94.47,0.42,99.36,4.11
1394,2.52,-3.39,81.22,0.41,99.75,2.61
1682,0.76,-3.85,82.84,0.12,100.6,3.66
1970,2.89,-2.7,84.19,0.8,99.6,6.78
2258,1.61,-3.13,82.44,0.54,99.58,3.92
2546,-0.83,-5.95,78.0,0.16,100.22,1.82
2834,1.23,-7.24,77.53,0.02,100.27,1.43
3122,2.28,-5.74,84.91,2.32,99.69,4.03
3410,4.47,-0.4,95.75,3.98,98.46,4.27
3698,6.52,-1.17,92.47,1.09,98.72,4.28
3986,8.02,0.42,89.84,0.87,98.32,4.18
4274,8.09,-0.75,81.22,0.1,98.86,1.66
4562,5.5,-0.8,86.0,0.32,98.98,3.02
4850,5.37,-1.42,84.75,0.12,99.29,4.19
5138,3.16,-3.61,82.5,0.03,99.63,3.0
5426,2.67,-3.37,81.31,0.81,99.6,1.9
5714,1.08,-3.88,82.09,0.16,100.11,2.32
6002,0.52,-4.47,79.41,3.04,99.19,4.71
6290,2.83,-3.6,82.12,0.83,99.17,3.51
6578,3.86,-2.86,83.03,0.84,99.67,2.95
6866,5.61,-3.27,64.69,0.0,100.24,1.3
7154,6.93,-1.67,83.84,0.13,100.16,1.46
7442,10.91,-0.56,78.25,0.0,100.36,0.9
7730,13.75,-1.32,83.72,1.12,100.19,2.87
8018,7.65,0.77,87.06,1.95,100.68,3.09
8306,10.46,0.39,81.97,0.9,101.02,1.95
8594,12.34,5.4,94.75,1.21,100.88,2.07
8882,17.51,7.6,87.34,0.2,100.44,2.59
9170,20.05,6.06,83.09,1.22,99.39,2.67
9458,9.87,0.83,71.69,0.52,99.37,3.58
9746,5.57,-0.15,82.34,1.61,99.34,2.09
10034,6.36,-1.1,81.31,0.25,99.77,2.55
10322,11.98,-2.36,74.56,1.81,98.36,5.01
10610,3.65,-1.16,81.97,0.83,98.32,3.13
10898,4.55,-2.52,78.5,0.32,98.63,3.15
11186,5.62,-2.24,81.97,0.94,99.45,4.27
11474,10.06,-0.66,74.38,0.02,100.25,4.03
11762,16.31,2.55,68.97,0.0,99.87,3.96
12050,18.15,4.18,71.78,0.0,100.12,4.14
12338,18.14,5.4,74.59,0.21,99.94,2.82
12626,11.15,3.26,89.94,2.48,99.91,3.82
12914,3.71,1.56,93.88,9.22,99.67,4.41
13202,9.66,1.46,90.25,6.34,99.53,2.06
13490,8.69,4.79,94.62,14.07,99.28,2.63
13778,11.74,4.71,88.31,2.6,99.79,0.93
14066,14.19,4.27,84.09,2.37,99.94,1.2
14354,14.6,5.08,80.53,0.45,99.82,3.14
14642,11.42,3.76,89.0,3.65,99.45,1.64
14930,13.51,5.05,85.0,1.89,99.16,2.6
15218,11.01,2.07,79.5,1.03,99.39,3.41
15506,7.5,0.04,78.75,0.43,99.91,4.07
15794,8.24,-0.45,73.09,0.12,100.1,3.35
16082,8.35,-1.42,66.81,0.05,99.92,2.35
16370,5.48,-1.24,73.94,0.62,99.84,2.42
16658,8.15,-2.6,69.62,0.1,99.75,1.74
16946,13.3,-1.49,62.5,0.0,99.68,2.68
17234,15.92,2.06,84.78,0.7,99.08,3.52
17522,16.28,5.7,83.59,2.47,98.94,3.02
17810,12.83,3.47,89.28,4.03,99.42,2.11
18098,18.51,3.76,89.94,9.6,98.5,5.04
18386,8.68,3.0,76.69,0.46,99.14,6.7
18674,12.99,2.54,72.69,0.18,99.32,3.88
18962,19.26,5.59,74.22,8.09,98.37,4.5
19250,12.96,5.59,71.03,0.51,98.84,4.64
