-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2021 through 05/31/2021 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,WS10M,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN
43.75,29.25,2021,60,102.66,5.02,2.6,78.02,7.05,5.05
43.75,29.75,2021,60,102.71,5.52,3.07,77.72,7.37,5.46
43.75,30.25,2021,60,102.68,5.9,3.59,78.54,7.35,5.69
43.75,30.75,2021,60,102.66,6.06,3.98,79.03,7.3,5.81
43.75,31.25,2021,60,102.63,5.98,4.07,79.03,7.26,5.82
43.75,31.75,2021,60,102.61,5.54,3.54,78.43,7.36,5.79
43.75,32.25,2021,60,102.59,5.04,2.48,77.4,7.35,5.94
43.75,32.75,2021,60,102.57,4.57,1.7,76.32,7.23,6.08
43.75,33.25,2021,60,102.56,4.16,1.42,75.79,6.99,6.08
43.75,33.75,2021,60,102.55,3.81,1.34,76.59,6.61,5.9
43.75,34.25,2021,60,102.54,3.49,1.57,77.94,6.44,5.72
43.75,34.75,2021,60,102.54,3.13,1.67,78.15,6.43,5.53
43.75,35.25,2021,60,102.53,2.85,1.77,78.42,6.4,5.38
43.75,35.75,2021,60,102.52,2.66,1.93,78.71,6.36,5.36
43.75,36.25,2021,60,102.52,2.5,2.1,77.66,6.48,5.65
43.75,36.75,2021,60,102.52,2.46,2.28,77.41,6.48,5.85
43.75,37.25,2021,60,102.51,2.47,2.34,77.27,6.48,5.95
43.75,37.75,2021,60,102.5,2.53,2.34,76.98,6.56,6.01
43.75,38.25,2021,60,102.43,2.59,2.33,76.53,6.68,5.95
43.75,38.75,2021,60,102.25,2.52,2.39,76.16,6.68,5.56
44.25,29.25,2021,60,102.65,5.3,2.54,80.96,6.15,4.21
44.25,29.75,2021,60,102.72,6.04,2.83,80.69,6.44,4.81
44.25,30.25,2021,60,102.69,6.46,3.25,80.76,6.66,5.23
